FIRE_YEAR,COUNTY,fire_count,total_acres,max_fire_size
2024,Bonneville,9,7037.08,6885.0
2024,Boundary,7,13.0,11.0
2024,Butte,2,142.27,142.0
2024,Camas,16,7293.67,6518.78
2024,Canyon,1,2.2,2.2
2024,Caribou,4,66.21000000000001,57.5
2024,Cassia,19,2635.01,2148.8
2024,Clark,3,100.21000000000001,56.56
2024,Clearwater,13,176.64000000000001,48.0
2024,Custer,12,6485.8,3020.53
2024,Elmore,37,39602.95,14194.6
2024,Franklin,1,90.75,90.75
2024,Fremont,4,23.29,19.79
2024,Gem,3,102586.84,102578.9
2024,Gooding,4,1.2,0.76
2024,Idaho,41,48568.11,12857.0
2024,Jefferson,5,526.15,495.0
2024,Jerome,7,68.63,53.22
2024,Kootenai,2,135.78,113.28
2024,Latah,9,1949.65,1582.0
2024,Lemhi,8,97519.23999999999,71321.54
2024,Lewis,4,138.9,110.5
2024,Lincoln,2,7.85,7.68
2024,Madison,1,170.0,170.0
2024,Nez Perce,7,32157.23,28820.0
2024,Oneida,4,326.82,170.0
2024,Owyhee,26,95155.36,25720.0
2024,Payette,4,886.3,611.9
2024,Power,14,1429.21,629.2
2024,Shoshone,13,571.52,275.0
2024,Teton,1,102.12,102.12
2024,Twin Falls,17,2413.96,2367.61
2024,Valley,12,122353.09,36722.0
2024,Washington,6,206338.7,187185.0
2025,Ada,40,43343.94,27126.4
2025,Adams,3,15.5,15.0
2025,Bannock,7,280.12,208.0
2025,Bingham,11,5686.03,5509.17
2025,Blaine,9,5963.78,5447.75
2025,Boise,5,92.4,57.9
2025,Bonner,10,5981.21,3183.0
2025,Bonneville,9,144.96,91.24
2025,Boundary,17,41.480000000000004,29.8
2025,Butte,2,869.09,867.47
2025,Camas,3,1.46,1.26
2025,Caribou,2,23.57,19.0
2025,Cassia,33,1239.66,826.27
2025,Clark,1,78.0,78.0
2025,Clearwater,11,2567.93,1400.0
2025,Custer,14,1975.6399999999999,1781.47
2025,Elmore,17,1172.48,443.0
2025,Franklin,2,215.60999999999999,167.67
2025,Fremont,4,2800.44,1991.36
2025,Gem,3,164.5,114.9
2025,Gooding,4,399.89,349.19
2025,Idaho,36,42395.270000000004,16248.75
2025,Jefferson,3,5.550000000000001,2.18
2025,Jerome,8,407.98,130.32
2025,Kootenai,1,23.0,23.0
2025,Latah,4,1251.1,1045.0
2025,Lemhi,2,1738.2099999999998,1738.1
2025,Lewis,3,90.0,69.0
2025,Madison,2,14.01,13.4
2025,Minidoka,1,1.97,1.97
2025,Nez Perce,3,310.04,250.0
2025,Oneida,2,1697.49,1695.22
2025,Owyhee,26,43280.93,21896.6
2025,Payette,8,2036.9,1199.2
2025,Power,4,23.03,20.46
2025,Shoshone,3,2931.05,2929.0
2025,Twin Falls,11,174.11,133.46
2025,Valley,6,10769.0,7908.0
2025,Washington,3,1397.1,1060.0
2026,Ada,13,2869.3,1399.8
2026,Adams,1,8.53,8.53
2026,Bannock,1,199.3,199.3
2026,Blaine,2,2078.52,2078.0
2026,Boise,1,7.9,7.9
2026,Bonner,1,0.1,0.1
2026,Bonneville,1,100.7,100.7
2026,Camas,1,0.06,0.06
2026,Canyon,1,35.0,35.0
2026,Cassia,6,1935.27,1887.0
2026,Clearwater,1,1.5,1.5
2026,Custer,2,1.1,1.0
2026,Elmore,16,4828.12,1721.0
2026,Franklin,1,30.0,30.0
2026,Gem,1,22.6,22.6
2026,Gooding,3,4088.98,4060.0
2026,Idaho,1,628.0,628.0
2026,Jefferson,1,76.84,76.84
2026,Jerome,3,23.84,21.0
2026,Lincoln,1,3298.0,3298.0
2026,Nez Perce,1,108.0,108.0
2026,Owyhee,7,25954.1,14317.0
2026,Payette,1,26.3,26.3
2026,Power,2,1485.0,1300.0
2026,Shoshone,1,217.0,217.0
2026,Twin Falls,3,186.91,94.0
2026,Valley,1,25.9,25.9
