FIRE_YEAR,COUNTY,fire_count,total_acres,max_fire_size,YEAR,avg_temp_f,max_temp_f,min_temp_f,total_precip_in,avg_wind,max_wind,elevation,fire_occurred
2015,Ada,46,231.3,70.0,2015.0,80.50354209001985,97.0754716981132,36.052830188679245,1.970195530726257,4.861438938866976,10.321428571428571,1401.7564245810056,1
2015,Adams,8,19.69,9.3,2015.0,80.50354209001985,97.0754716981132,36.052830188679245,1.970195530726257,4.861438938866976,10.321428571428571,1401.7564245810056,1
2015,Bannock,3,0.5,0.3,2015.0,80.50354209001985,97.0754716981132,36.052830188679245,1.970195530726257,4.861438938866976,10.321428571428571,1401.7564245810056,1
2015,Bear Lake,2,110.0,83.0,2015.0,80.50354209001985,97.0754716981132,36.052830188679245,1.970195530726257,4.861438938866976,10.321428571428571,1401.7564245810056,1
2015,Benewah,12,74.3,34.0,2015.0,80.50354209001985,97.0754716981132,36.052830188679245,1.970195530726257,4.861438938866976,10.321428571428571,1401.7564245810056,1
2015,Bingham,3,4.5,2.0,2015.0,80.50354209001985,97.0754716981132,36.052830188679245,1.970195530726257,4.861438938866976,10.321428571428571,1401.7564245810056,1
2015,Blaine,10,4771.8,4759.0,2015.0,80.50354209001985,97.0754716981132,36.052830188679245,1.970195530726257,4.861438938866976,10.321428571428571,1401.7564245810056,1
2015,Boise,16,6282.67,5963.0,2015.0,80.50354209001985,97.0754716981132,36.052830188679245,1.970195530726257,4.861438938866976,10.321428571428571,1401.7564245810056,1
2015,Bonner,49,115.52,50.0,2015.0,80.50354209001985,97.0754716981132,36.052830188679245,1.970195530726257,4.861438938866976,10.321428571428571,1401.7564245810056,1
2015,Bonneville,2,3.6,2.2,2015.0,80.50354209001985,97.0754716981132,36.052830188679245,1.970195530726257,4.861438938866976,10.321428571428571,1401.7564245810056,1
2015,Boundary,22,36.21,24.5,2015.0,80.50354209001985,97.0754716981132,36.052830188679245,1.970195530726257,4.861438938866976,10.321428571428571,1401.7564245810056,1
2015,Butte,2,4.1,4.0,2015.0,80.50354209001985,97.0754716981132,36.052830188679245,1.970195530726257,4.861438938866976,10.321428571428571,1401.7564245810056,1
2015,Camas,2,125.5,125.3,2015.0,80.50354209001985,97.0754716981132,36.052830188679245,1.970195530726257,4.861438938866976,10.321428571428571,1401.7564245810056,1
2015,Canyon,3,58.2,58.0,2015.0,80.50354209001985,97.0754716981132,36.052830188679245,1.970195530726257,4.861438938866976,10.321428571428571,1401.7564245810056,1
2015,Caribou,4,60.8,40.0,2015.0,80.50354209001985,97.0754716981132,36.052830188679245,1.970195530726257,4.861438938866976,10.321428571428571,1401.7564245810056,1
2015,Cassia,13,3.4,1.4,2015.0,80.50354209001985,97.0754716981132,36.052830188679245,1.970195530726257,4.861438938866976,10.321428571428571,1401.7564245810056,1
2015,Clark,2,148.3,148.0,2015.0,80.50354209001985,97.0754716981132,36.052830188679245,1.970195530726257,4.861438938866976,10.321428571428571,1401.7564245810056,1
2015,Clearwater,40,6212.32,6200.0,2015.0,80.50354209001985,97.0754716981132,36.052830188679245,1.970195530726257,4.861438938866976,10.321428571428571,1401.7564245810056,1
2015,Custer,1,5.0,5.0,2015.0,80.50354209001985,97.0754716981132,36.052830188679245,1.970195530726257,4.861438938866976,10.321428571428571,1401.7564245810056,1
2015,Elmore,22,3855.2,1494.0,2015.0,80.50354209001985,97.0754716981132,36.052830188679245,1.970195530726257,4.861438938866976,10.321428571428571,1401.7564245810056,1
2015,Fremont,1,452.0,452.0,2015.0,80.50354209001985,97.0754716981132,36.052830188679245,1.970195530726257,4.861438938866976,10.321428571428571,1401.7564245810056,1
2015,Gem,7,10942.5,10845.0,2015.0,80.50354209001985,97.0754716981132,36.052830188679245,1.970195530726257,4.861438938866976,10.321428571428571,1401.7564245810056,1
2015,Gooding,2,12.1,12.0,2015.0,80.50354209001985,97.0754716981132,36.052830188679245,1.970195530726257,4.861438938866976,10.321428571428571,1401.7564245810056,1
2015,Idaho,27,56330.0,41195.0,2015.0,80.50354209001985,97.0754716981132,36.052830188679245,1.970195530726257,4.861438938866976,10.321428571428571,1401.7564245810056,1
2015,Jefferson,1,1.6,1.6,2015.0,80.50354209001985,97.0754716981132,36.052830188679245,1.970195530726257,4.861438938866976,10.321428571428571,1401.7564245810056,1
2015,Jerome,4,3.3,1.9,2015.0,80.50354209001985,97.0754716981132,36.052830188679245,1.970195530726257,4.861438938866976,10.321428571428571,1401.7564245810056,1
2015,Kootenai,30,255.4,135.0,2015.0,80.50354209001985,97.0754716981132,36.052830188679245,1.970195530726257,4.861438938866976,10.321428571428571,1401.7564245810056,1
2015,Latah,7,895.7,850.0,2015.0,80.50354209001985,97.0754716981132,36.052830188679245,1.970195530726257,4.861438938866976,10.321428571428571,1401.7564245810056,1
2015,Lemhi,5,1.6,0.8,2015.0,80.50354209001985,97.0754716981132,36.052830188679245,1.970195530726257,4.861438938866976,10.321428571428571,1401.7564245810056,1
2015,Lewis,2,3971.0,3913.0,2015.0,80.50354209001985,97.0754716981132,36.052830188679245,1.970195530726257,4.861438938866976,10.321428571428571,1401.7564245810056,1
2015,Lincoln,8,4949.8,2437.0,2015.0,80.50354209001985,97.0754716981132,36.052830188679245,1.970195530726257,4.861438938866976,10.321428571428571,1401.7564245810056,1
2015,Madison,2,2.8000000000000003,2.7,2015.0,80.50354209001985,97.0754716981132,36.052830188679245,1.970195530726257,4.861438938866976,10.321428571428571,1401.7564245810056,1
2015,Nez Perce,1,2.0,2.0,2015.0,80.50354209001985,97.0754716981132,36.052830188679245,1.970195530726257,4.861438938866976,10.321428571428571,1401.7564245810056,1
2015,Oneida,5,11.4,9.7,2015.0,80.50354209001985,97.0754716981132,36.052830188679245,1.970195530726257,4.861438938866976,10.321428571428571,1401.7564245810056,1
2015,Owyhee,33,297094.7,283180.0,2015.0,80.50354209001985,97.0754716981132,36.052830188679245,1.970195530726257,4.861438938866976,10.321428571428571,1401.7564245810056,1
2015,Payette,4,333.6,318.0,2015.0,80.50354209001985,97.0754716981132,36.052830188679245,1.970195530726257,4.861438938866976,10.321428571428571,1401.7564245810056,1
2015,Power,2,15.2,15.0,2015.0,80.50354209001985,97.0754716981132,36.052830188679245,1.970195530726257,4.861438938866976,10.321428571428571,1401.7564245810056,1
2015,Shoshone,15,2289.0,1522.7,2015.0,80.50354209001985,97.0754716981132,36.052830188679245,1.970195530726257,4.861438938866976,10.321428571428571,1401.7564245810056,1
2015,Twin Falls,6,68.1,33.0,2015.0,80.50354209001985,97.0754716981132,36.052830188679245,1.970195530726257,4.861438938866976,10.321428571428571,1401.7564245810056,1
2015,Valley,14,23.049999999999997,11.5,2015.0,80.50354209001985,97.0754716981132,36.052830188679245,1.970195530726257,4.861438938866976,10.321428571428571,1401.7564245810056,1
2015,Washington,4,4596.0,2056.0,2015.0,80.50354209001985,97.0754716981132,36.052830188679245,1.970195530726257,4.861438938866976,10.321428571428571,1401.7564245810056,1
