FIRE_YEAR,COUNTY,fire_count,total_acres,max_fire_size
2000,Latah,0,927.55,903.0
2000,Lemhi,15,324.40000000000003,252.0
2000,Lewis,1,173.4,100.0
2000,Lincoln,9,1705.7,1132.7
2000,Madison,1,508.0,508.0
2000,Minidoka,6,469.2999999999999,336.4
2000,Nez Perce,1,73.14999999999999,50.0
2000,Oneida,18,14383.8,12498.0
2000,Owyhee,35,82515.1,35613.0
2000,Payette,2,204.0,184.0
2000,Power,31,93891.5,53605.0
2000,Shoshone,2,2.3,1.0
2000,Twin Falls,14,3853.6,1702.0
2000,Valley,0,5.8,2.0
2000,Washington,4,22.6,20.0
2001,Ada,35,7879.700000000001,4282.0
2001,Adams,1,2.35,0.75
2001,Bannock,30,539.7,303.0
2001,Bear Lake,4,14.0,5.0
2001,Benewah,0,6.0,3.0
2001,Bingham,15,998.9,689.0
2001,Blaine,10,725.5,693.1
2001,Boise,2,882.55,512.0
2001,Bonner,0,12.6,3.0
2001,Bonneville,1,633.0,633.0
2001,Boundary,2,496.85,440.0
2001,Butte,9,671.3,653.0
2001,Camas,3,18395.4,18046.6
2001,Canyon,2,428.0,275.0
2001,Caribou,3,93.1,51.0
2001,Cassia,62,14284.5,6472.4
2001,Clark,6,16.1,10.0
2001,Clearwater,0,21.2,2.3
2001,Custer,5,6.7,5.0
2001,Elmore,40,6805.2,1369.0
2001,Franklin,3,1083.0,782.0
2001,Fremont,1,12.0,12.0
2001,Gem,13,7706.7,2465.0
2001,Gooding,19,368.2000000000001,232.4
2001,Idaho,0,204.92,105.0
2001,Jefferson,6,25.8,22.0
2001,Jerome,26,12135.3,11058.0
2001,Kootenai,0,34.55,14.7
2001,Latah,0,134.6,125.0
2001,Lemhi,7,192.2,190.6
2001,Lewis,0,0.4,0.1
2001,Lincoln,19,799.2,197.6
2001,Minidoka,12,6652.5,2759.0
2001,Nez Perce,2,3030.2,1595.0
2001,Oneida,34,7026.1,2548.0
2001,Owyhee,35,44822.2,11198.0
2001,Payette,7,780.0,483.0
2001,Power,14,756.9,420.0
2001,Shoshone,0,7.35,3.0
2001,Teton,1,1.5,1.5
2001,Twin Falls,15,3697.1,3281.0
2001,Valley,0,8.950000000000001,1.0
2001,Washington,6,2057.2,1975.0
2002,Ada,15,4382.3,3629.0
2002,Adams,0,3.6,2.0
2002,Bannock,12,966.7,483.0
2002,Bear Lake,2,20.5,20.0
2002,Benewah,1,130.15,122.0
2002,Bingham,3,5.2,4.0
2002,Blaine,12,1474.8,1046.5
2002,Boise,2,58.98,21.0
2002,Bonner,1,334.95,312.0
2002,Bonneville,5,182.5,93.0
2002,Boundary,0,9.6,2.0
2002,Butte,8,28.6,27.0
2002,Camas,1,0.1,0.1
2002,Canyon,4,742.0,528.0
2002,Caribou,4,15.8,15.0
2002,Cassia,15,12961.3,10422.0
2002,Clark,6,3.5,2.0
2002,Clearwater,0,45.82,30.0
2002,Custer,2,73.3,73.0
2002,Elmore,20,737.9,313.0
2002,Franklin,1,9.0,9.0
2002,Fremont,1,0.1,0.1
2002,Gem,11,9630.3,6786.0
2002,Gooding,2,0.4,0.3
2002,Idaho,1,697.75,425.0
2002,Jerome,10,17.2,10.0
2002,Kootenai,0,3.05,2.0
2002,Latah,0,86.4,35.0
2002,Lemhi,15,12.8,9.0
2002,Lewis,0,10.1,10.0
2002,Lincoln,12,5340.3,5237.0
2002,Madison,1,5.0,5.0
2002,Minidoka,2,1.1,1.0
2002,Nez Perce,0,443.6,300.0
2002,Oneida,2,0.2,0.1
2002,Owyhee,34,25665.3,8140.0
2002,Payette,4,79.2,72.0
2002,Power,3,45.3,35.0
2002,Shoshone,0,0.5,0.3
2002,Twin Falls,12,310.3,225.0
2002,Valley,0,9.35,3.0
2002,Washington,5,135.0,81.0
2003,Ada,17,1318.5,864.0
2003,Adams,0,2.3000000000000003,0.5
2003,Bannock,18,6523.8,3977.5
2003,Bear Lake,1,15.0,15.0
2003,Benewah,0,25.22,10.0
2003,Bingham,15,5685.9,2766.6
2003,Blaine,13,6502.6,4095.1
2003,Boise,2,167.1,93.0
2003,Bonner,1,600.95,590.0
2003,Bonneville,15,737.6,186.0
2003,Boundary,0,46.45,34.5
2003,Butte,6,4.1,2.5
2003,Camas,2,313.90000000000003,313.8
2003,Caribou,12,1909.4,813.9
2003,Cassia,29,3223.8,2680.0
2003,Clark,5,38218.4,37842.5
2003,Clearwater,0,35.199999999999996,31.7
2003,Custer,4,5.8,5.0
2003,Elmore,21,225.5,114.0
2003,Franklin,1,280.4,280.4
2003,Fremont,5,520.4,482.4
2003,Gem,5,646.3,218.0
2003,Gooding,7,13.1,5.0
2003,Idaho,0,4.609999999999999,2.5
2003,Jefferson,7,12328.4,12068.4
2003,Jerome,11,971.9,871.5
2003,Kootenai,0,43.61,12.0
2003,Latah,1,280.3,190.0
2003,Lemhi,12,50.7,28.0
2003,Lewis,0,0.1,0.1
2003,Lincoln,11,238.0,200.0
2003,Madison,6,608.0,504.8
2003,Minidoka,8,1188.1,1047.0
2003,Nez Perce,0,3947.3,3200.0
2003,Oneida,7,5.1,2.0
2003,Owyhee,25,6845.2,4848.0
2003,Payette,1,7.0,7.0
2003,Power,8,2194.6,2016.6
2003,Shoshone,0,16.6,2.5
2003,Teton,1,0.3,0.3
2003,Twin Falls,16,97.5,43.0
2003,Valley,0,10.45,6.0
2003,Washington,4,402.2,399.0
2004,Ada,9,133.9,83.0
2004,Adams,0,5.65,4.5
2004,Bannock,5,15.7,9.0
2004,Bear Lake,1,2.0,2.0
2004,Benewah,0,6.800000000000001,4.2
2004,Bingham,5,46.2,21.0
2004,Blaine,8,489.30000000000007,481.6
2004,Boise,0,6.87,5.0
2004,Bonner,0,9.05,2.2
2004,Bonneville,3,635.6,619.5
2004,Boundary,0,8.12,3.5
2004,Butte,2,0.2,0.1
2004,Canyon,2,2.2,2.0
2004,Caribou,1,215.0,215.0
2004,Cassia,14,476.0,462.5
2004,Clearwater,0,14.55,8.2
2004,Elmore,24,1998.5,817.0
