FIRE_YEAR,COUNTY,fire_count,total_acres,max_fire_size,YEAR,avg_temp_f,max_temp_f,min_temp_f,total_precip_in,avg_wind,max_wind,fire_occurred,large_fire
2005,Ada,28,10272.0,8347.0,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,1
2005,Bannock,12,8783.9,8282.0,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,1
2005,Bear Lake,1,1.0,1.0,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,0
2005,Bingham,16,19628.4,16892.1,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,1
2005,Blaine,7,24944.6,24810.0,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,1
2005,Boise,1,183.0,183.0,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,0
2005,Bonneville,8,114.8,93.0,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,0
2005,Butte,4,40.5,35.5,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,0
2005,Camas,2,153.1,153.0,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,0
2005,Caribou,1,6.0,6.0,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,0
2005,Cassia,16,1627.6,588.0,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,1
2005,Clark,1,827.0,827.0,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,0
2005,Custer,6,51.6,50.0,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,0
2005,Elmore,51,20488.5,6969.4,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,1
2005,Fremont,2,5.1,5.0,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,0
2005,Gem,4,72.3,59.0,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,0
