STATION,avg_temp_f,max_temp_f,min_temp_f,total_precip_in,avg_wind,max_wind,YEAR
USC00104598,79.34146341463415,91.0,27.0,0.0,,,2013
USC00104670,90.40217391304348,106.0,39.0,0.42000000000000004,,,2013
USC00104793,90.45652173913044,104.0,38.0,3.1599999999999997,,,2013
USC00104831,81.74698795180723,101.0,39.0,5.2,,,2013
USC00104845,79.275,90.0,30.0,1.73,,,2013
USC00105143,86.46739130434783,98.0,33.0,2.25,,,2013
USC00105177,81.06521739130434,95.0,25.0,1.23,,,2013
USC00105275,79.8586956521739,90.0,35.0,1.17,,,2013
USC00105462,82.44565217391305,97.0,28.0,1.36,,,2013
USC00105678,89.71739130434783,104.0,36.0,2.12,,,2013
USC00105685,85.8804347826087,99.0,29.0,2.2,,,2013
USC00105708,81.05434782608695,97.0,30.0,2.39,,,2013
USC00105980,90.54651162790698,106.0,31.0,0.28,,,2013
USC00106080,83.90697674418605,95.0,30.0,1.19,,,2013
USC00106152,82.92391304347827,99.0,34.0,3.21,,,2013
USC00106230,78.94047619047619,98.0,34.0,1.89,,,2013
USC00106250,87.15217391304348,99.0,30.0,0.78,,,2013
USC00106388,83.90217391304348,99.0,28.0,2.01,,,2013
USC00106424,79.30434782608695,92.0,33.0,3.68,,,2013
USC00106542,85.66304347826087,96.0,35.0,2.14,,,2013
USC00106877,84.56043956043956,97.0,39.0,0.18,,,2013
USC00106891,90.48913043478261,106.0,44.0,0.42000000000000004,,,2013
USC00107040,85.8913043478261,99.0,24.0,0.21000000000000002,,,2013
USC00107046,81.6590909090909,101.0,32.0,4.87,,,2013
USC00107188,78.80434782608695,93.0,38.0,4.97,,,2013
USC00107208,89.07608695652173,103.0,34.0,2.35,,,2013
USC00107210,90.41304347826087,101.0,42.0,3.55,,,2013
USC00107264,79.88636363636364,98.0,41.0,7.77,,,2013
USC00107301,81.3695652173913,99.0,37.0,3.6,,,2013
USC00107320,69.5,83.0,31.0,0.02,,,2013
USC00107346,87.78260869565217,98.0,35.0,0.89,,,2013
USC00107357,81.65934065934066,98.0,32.0,5.5600000000000005,0.12021978021978022,2.01,2013
USC00107386,82.1086956521739,96.0,35.0,5.65,,,2013
USC00107644,84.3913043478261,96.0,33.0,1.41,,,2013
USC00107673,88.16304347826087,103.0,35.0,0.83,,,2013
USC00107689,84.97826086956522,96.0,37.0,1.1500000000000001,,,2013
USC00107808,87.9672131147541,100.0,28.0,1.19,,,2013
USC00108022,83.17391304347827,96.0,35.0,0.52,,,2013
USC00108062,83.03296703296704,102.0,39.0,4.36,,,2013
USC00108080,84.18478260869566,96.0,35.0,2.2,,,2013
USC00108137,80.11627906976744,95.0,36.0,4.41,,,2013
USC00108246,89.3586956521739,108.0,34.0,2.79,,,2013
USC00108380,91.66304347826087,105.0,38.0,0.11,,,2013
USC00108500,83.1086956521739,95.0,33.0,1.5699999999999998,,,2013
USC00108604,75.96666666666667,91.0,29.0,0.28,,,2013
USC00108676,78.8695652173913,93.0,20.0,1.5,,,2013
USC00108818,83.16304347826087,93.0,31.0,1.19,,,2013
USC00108928,92.47252747252747,111.0,45.0,0.61,,,2013
USC00108937,81.75,93.0,27.0,2.11,,,2013
USC00109000,85.65,101.0,36.0,1.6500000000000001,,,2013
USC00109065,77.97752808988764,89.0,28.0,2.4,,,2013
USC00109498,81.3076923076923,97.0,38.0,5.26,,,2013
USC00109601,72.76666666666667,85.0,24.0,0.06,,,2013
USC00109846,77.79347826086956,92.0,34.0,3.6199999999999997,,,2013
USC00109950,85.04347826086956,101.0,30.0,2.33,,,2013
USC00109963,91.65217391304348,107.0,38.0,3.14,,,2013
USR0000I3MI,79.90217391304348,92.0,31.0,0.0,,,2013
USR0000IARC,87.41304347826087,100.0,30.0,0.0,,,2013
USR0000IBEA,73.05434782608695,87.0,30.0,0.0,,,2013
USR0000IBOF,80.1195652173913,94.0,39.0,0.0,,,2013
USR0000IBON,79.98913043478261,94.0,25.0,0.0,,,2013
USR0000IBRA,89.3913043478261,105.0,29.0,0.0,,,2013
USR0000IBUL,86.8695652173913,101.0,28.0,0.0,,,2013
USR0000ICAN,66.26086956521739,82.0,26.0,0.0,,,2013
USR0000ICOP,73.65217391304348,86.0,15.0,0.0,,,2013
USR0000ICRY,87.8586956521739,101.0,35.0,0.0,,,2013
USR0000IDEA,87.53260869565217,107.0,41.0,0.0,,,2013
USR0000IDEP,84.83695652173913,96.0,35.0,0.0,,,2013
USR0000IDER,84.26086956521739,101.0,37.0,0.0,,,2013
USR0000IDIA,77.71739130434783,88.0,28.0,0.0,,,2013
USR0000IEZR,78.34782608695652,90.0,34.0,0.0,,,2013
USR0000IFEN,90.1304347826087,106.0,40.0,0.0,,,2013
USR0000IFIS,78.26086956521739,96.0,32.0,0.0,,,2013
USR0000IFLE,81.02173913043478,95.0,31.0,0.0,,,2013
USR0000IFLI,87.26086956521739,100.0,34.0,0.0,,,2013
USR0000IGAS,83.48837209302326,95.0,33.0,0.0,,,2013
USR0000IGOO,85.28260869565217,100.0,35.0,0.0,,,2013
USR0000IGRA,85.01086956521739,96.0,35.0,0.0,,,2013
USR0000IGRL,82.73913043478261,95.0,27.0,0.0,,,2013
USR0000IHPK,71.3913043478261,85.0,26.0,0.0,,,2013
USR0000IHSB,87.3586956521739,102.0,33.0,0.0,,,2013
USR0000IIND,92.31521739130434,106.0,35.0,0.0,,,2013
USR0000IISP,79.25,90.0,27.0,0.0,,,2013
USR0000IKRI,83.47826086956522,98.0,38.0,0.0,,,2013
USR0000ILCR,86.98913043478261,101.0,38.0,0.0,,,2013
USR0000ILEA,82.58536585365853,95.0,28.0,0.0,,,2013
USR0000ILIN,73.90217391304348,94.0,36.0,0.0,,,2013
USR0000ILIT,85.54347826086956,102.0,38.0,0.0,,,2013
USR0000ILOD,77.72826086956522,95.0,28.0,0.0,,,2013
USR0000IMHO,94.33783783783784,112.0,37.0,0.0,,,2013
USR0000IMOD,78.16304347826087,90.0,32.0,0.0,,,2013
USR0000IMOL,78.93478260869566,91.0,38.0,0.0,,,2013
USR0000IMOO,90.81521739130434,108.0,37.0,0.0,,,2013
USR0000IMUL,81.6413043478261,93.0,28.0,0.0,,,2013
USR0000INOR,83.01086956521739,97.0,26.0,0.0,,,2013
USR0000INUC,78.5,96.0,41.0,0.0,,,2013
USR0000IOHI,82.8804347826087,96.0,29.0,0.0,,,2013
USR0000IPCK,86.78260869565217,101.0,29.0,0.0,,,2013
USR0000IPCN,79.21739130434783,91.0,32.0,0.0,,,2013
USR0000IPCR,77.5,89.0,33.0,0.0,,,2013
USR0000IPIE,82.48913043478261,101.0,31.0,0.0,,,2013
USR0000IPIN,82.07608695652173,96.0,34.0,0.0,,,2013
USR0000IPOB,88.45652173913044,102.0,37.0,0.0,,,2013
USR0000IPOT,83.48913043478261,101.0,36.0,0.0,,,2013
USR0000IPOW,84.79347826086956,100.0,31.0,0.0,,,2013
USR0000IPRL,80.3695652173913,99.0,32.0,0.0,,,2013
USR0000IRAF,91.07608695652173,105.0,33.0,0.0,,,2013
USR0000IRED,82.58695652173913,100.0,28.0,0.0,,,2013
USR0000IROC,90.93478260869566,106.0,37.0,0.0,,,2013
USR0000ISAD,70.84782608695652,89.0,34.0,0.0,,,2013
USR0000ISAL,83.8804347826087,96.0,39.0,0.0,,,2013
USR0000ISKI,80.80434782608695,95.0,36.0,0.0,,,2013
USR0000ISKU,79.14285714285714,98.0,37.0,0.0,,,2013
USR0000ISLA,92.69565217391305,107.0,42.0,0.0,,,2013
USR0000ISNA,84.57608695652173,101.0,39.0,0.0,,,2013
USR0000ISPA,86.55434782608695,100.0,31.0,0.0,,,2013
USR0000ISTN,79.83695652173913,95.0,23.0,0.0,,,2013
USR0000ITEA,81.8695652173913,100.0,36.0,0.0,,,2013
USR0000ITOW,87.55434782608695,104.0,33.0,0.0,,,2013
USR0000ITRA,83.73913043478261,98.0,38.0,0.0,,,2013
USR0000ITRI,84.6195652173913,100.0,30.0,0.0,,,2013
USR0000ITWI,94.70652173913044,111.0,42.0,0.0,,,2013
USR0000IWEI,86.1413043478261,103.0,41.0,0.0,,,2013
USS0011E10S,82.02173913043478,93.0,29.0,1.0,,,2013
USS0011E36S,71.46739130434783,84.0,33.0,2.9,,,2013
USS0011E37S,75.3913043478261,86.0,32.0,1.2,,,2013
USS0011F02S,81.30434782608695,92.0,28.0,2.9,,,2013
USS0011F11S,79.01086956521739,89.0,29.0,1.8,,,2013
USS0011G01S,77.1195652173913,87.0,29.0,1.8,,,2013
USS0011G05S,79.5,89.0,26.0,2.4,,,2013
USS0011G06S,75.98913043478261,87.0,27.0,2.1,,,2013
USS0011G30S,77.28260869565217,88.0,28.0,4.0,,,2013
USS0011G32S,73.47826086956522,83.0,27.0,0.9,,,2013
USS0011G33S,78.09782608695652,87.0,23.0,2.1,,,2013
USS0012G17S,78.32608695652173,89.0,30.0,1.3,,,2013
USS0012G18S,80.75,91.0,34.0,1.4,,,2013
USS0013D16S,77.29347826086956,92.0,27.0,3.9,,,2013
USS0013D22S,70.48913043478261,84.0,30.0,3.9,,,2013
USS0013E06S,78.67391304347827,91.0,27.0,5.0,,,2013
USS0013E16S,69.19565217391305,82.0,30.0,4.5,,,2013
USS0013E18S,66.80434782608695,80.0,26.0,4.2,,,2013
USS0013E27S,71.58695652173913,85.0,30.0,2.7,,,2013
USS0013F03S,73.19565217391305,84.0,26.0,2.5,,,2013
USS0013F04S,78.59782608695652,90.0,26.0,1.5,,,2013
USS0013F09S,76.23913043478261,89.0,27.0,1.4000000000000001,,,2013
USS0013F13S,67.72826086956522,81.0,21.0,3.4,1.9816666666666667,3.13,2013
USS0013G01S,72.02173913043478,84.0,30.0,3.2,,,2013
USS0014C04S,72.6413043478261,90.0,28.0,4.4,,,2013
USS0014C05S,75.6304347826087,91.0,29.0,4.5,,,2013
USS0014E01S,68.1195652173913,81.0,27.0,3.2,,,2013
USS0014E04S,71.8586956521739,85.0,29.0,3.1,,,2013
USS0014F02S,76.81521739130434,88.0,22.0,2.0,,,2013
USS0014F03S,73.5,85.0,28.0,1.9,,,2013
USS0014F04S,67.17391304347827,81.0,28.0,2.5,1.6745652173913044,3.8,2013
USS0014F08S,68.29347826086956,81.0,29.0,2.9,,,2013
USS0014F11S,81.98913043478261,94.0,28.0,1.0,,,2013
USS0014F12S,70.5,88.0,26.0,2.1,,,2013
USS0014F16S,75.79347826086956,90.0,26.0,2.5,,,2013
USS0014F17S,77.58695652173913,93.0,23.0,2.3000000000000003,,,2013
USS0014F19S,79.8804347826087,93.0,27.0,2.3,,,2013
USS0014G01S,76.01086956521739,90.0,28.0,3.9,,,2013
USS0014G02S,79.72826086956522,94.0,27.0,2.8000000000000003,,,2013
USS0015B02S,73.31521739130434,91.0,38.0,5.4,,,2013
USS0015B09S,67.1195652173913,85.0,36.0,6.1,,,2013
USS0015B14S,68.3586956521739,86.0,32.0,6.5,,,2013
USS0015B21S,77.43478260869566,97.0,34.0,5.2,,,2013
USS0015C04S,78.1086956521739,98.0,37.0,5.6,,,2013
USS0015C05S,79.70652173913044,99.0,33.0,4.6000000000000005,,,2013
USS0015C06S,71.17391304347827,91.0,33.0,5.5,,,2013
USS0015C09S,71.16304347826087,91.0,28.0,6.4,,,2013
USS0015C16S,70.32608695652173,90.0,32.0,4.8,,,2013
USS0015D01S,72.1086956521739,90.0,28.0,5.3,,,2013
USS0015D06S,74.3913043478261,90.0,24.0,4.1000000000000005,,,2013
USS0015E02S,74.81521739130434,92.0,29.0,4.2,,,2013
USS0015E04S,75.47826086956522,93.0,26.0,4.7,,,2013
USS0015E08S,82.16304347826087,97.0,30.0,3.0,,,2013
USS0015E09S,73.67391304347827,90.0,31.0,2.3000000000000003,,,2013
USS0015E11S,76.3913043478261,93.0,26.0,2.6,,,2013
USS0015F01S,77.6304347826087,93.0,33.0,2.3,,,2013
USS0015F04S,71.33695652173913,85.0,33.0,2.5,2.8768478260869568,3.8,2013
USS0015F05S,71.46739130434783,85.0,26.0,2.6,,,2013
USS0015F06S,85.09782608695652,100.0,31.0,0.1,,,2013
USS0015F09S,80.5,96.0,31.0,0.8,,,2013
USS0015F14S,82.1304347826087,97.0,24.0,2.0,2.994065934065934,4.47,2013
USS0015G02S,76.06521739130434,92.0,28.0,1.5,,,2013
USS0016A04S,69.82608695652173,88.0,35.0,7.5,,,2013
USS0016A08S,65.58695652173913,82.0,36.0,8.0,,,2013
USS0016A10S,64.3913043478261,80.0,35.0,6.8,,,2013
USS0016A12S,70.46739130434783,89.0,33.0,6.5,,,2013
USS0016A14S,73.32608695652173,91.0,42.0,5.9,3.489130434782609,5.59,2013
USS0016B14S,76.72826086956522,97.0,38.0,7.6000000000000005,,,2013
USS0016C01S,82.67391304347827,105.0,32.0,4.0,,,2013
USS0016C02S,72.55434782608695,92.0,40.0,4.0,,,2013
USS0016C20S,69.70652173913044,90.0,35.0,4.6,,,2013
USS0016D08S,80.56521739130434,96.0,33.0,2.8,,,2013
USS0016D09S,76.57608695652173,95.0,31.0,4.5,,,2013
USS0016E05S,81.82608695652173,97.0,27.0,2.3,,,2013
USS0016E10S,74.56521739130434,90.0,31.0,3.1,,,2013
USS0016E11S,80.67391304347827,96.0,28.0,2.8000000000000003,,,2013
USS0016E14S,82.05434782608695,97.0,36.0,3.3,2.1282608695652177,4.03,2013
USS0016E18S,81.3913043478261,98.0,26.0,1.7,3.1170652173913043,6.04,2013
USS0016F02S,73.07608695652173,89.0,32.0,1.6,2.8082608695652174,4.7,2013
USS0016F08S,79.22826086956522,96.0,35.0,1.9,,,2013
USS0016G01S,77.81521739130434,94.0,30.0,1.8,,,2013
USS0016G07S,84.26086956521739,100.0,28.0,1.3,,,2013
USS0017B06S,71.15217391304348,88.0,40.0,8.3,,,2013
USW00004109,90.27848101265823,102.0,43.0,2.92,1.3010344827586207,2.91,2013
USW00004110,88.47826086956522,103.0,39.0,0.12,7.347608695652174,16.55,2013
USW00004112,79.25,94.0,21.0,1.56,3.6296739130434785,5.59,2013
USW00004114,86.23913043478261,100.0,35.0,1.29,4.665434782608696,9.62,2013
USW00004126,83.14285714285714,96.0,33.0,0.63,,,2013
USW00004127,86.7032967032967,104.0,35.0,2.22,,,2013
USW00024106,92.79310344827586,107.0,37.0,0.39,9.270329670329671,19.69,2013
USW00024131,91.97826086956522,110.0,44.0,0.99,6.642717391304347,13.2,2013
USW00024133,86.91304347826087,101.0,34.0,0.52,5.861847826086956,12.97,2013
USW00024145,80.91666666666667,93.0,35.0,0.1,,,2013
USW00024149,89.41304347826087,107.0,46.0,2.52,4.626847826086957,9.62,2013
USW00024151,88.90217391304348,99.0,33.0,0.14,,,2013
USW00024156,89.47826086956522,101.0,33.0,1.06,8.184021739130435,17.22,2013
USW00094143,88.51086956521739,100.0,31.0,0.67,,,2013
USW00094178,90.75,103.0,39.0,0.33999999999999997,9.453369565217391,18.79,2013
USW00094182,80.06521739130434,95.0,32.0,2.2600000000000002,4.196847826086957,6.93,2013
USW00094194,77.91666666666667,89.0,36.0,0.13,,,2013
US1IDAD0002,,,,0.61,,,2014
US1IDAD0004,,,,0.8899999999999999,,,2014
US1IDAD0005,,,,0.58,,,2014
US1IDAD0007,,,,0.46,,,2014
US1IDAD0008,,,,0.28,,,2014
US1IDAD0009,,,,0.52,,,2014
US1IDAD0011,,,,0.53,,,2014
US1IDAD0014,,,,0.79,,,2014
US1IDAD0019,,,,0.71,,,2014
US1IDAD0020,,,,0.29000000000000004,,,2014
US1IDAD0021,,,,0.56,,,2014
US1IDAD0025,,,,0.19,,,2014
US1IDAD0026,,,,0.86,,,2014
US1IDBD0001,,,,5.5,,,2014
US1IDBD0004,,,,4.49,,,2014
US1IDBD0005,,,,4.18,,,2014
US1IDBK0001,,,,5.21,,,2014
US1IDBK0010,,,,3.67,,,2014
US1IDBN0003,,,,3.12,,,2014
US1IDBR0003,,,,5.9399999999999995,,,2014
US1IDBR0004,,,,0.44,,,2014
US1IDBR0014,,,,6.43,,,2014
US1IDBR0015,,,,4.31,,,2014
US1IDBR0018,,,,3.36,,,2014
US1IDBR0019,,,,2.85,,,2014
US1IDBR0022,,,,6.6899999999999995,,,2014
US1IDBS0001,,,,0.92,,,2014
US1IDBS0004,,,,2.2,,,2014
US1IDBS0006,,,,5.0600000000000005,,,2014
US1IDBV0006,,,,4.05,,,2014
US1IDBV0008,,,,0.33,,,2014
US1IDBW0002,,,,2.49,,,2014
US1IDBW0003,,,,3.78,,,2014
US1IDCR0001,,,,7.09,,,2014
US1IDCR0002,,,,2.3,,,2014
US1IDCT0001,,,,2.68,,,2014
US1IDCW0006,,,,1.93,,,2014
US1IDCW0007,,,,0.6900000000000001,,,2014
US1IDCY0001,,,,0.2,,,2014
US1IDCY0012,,,,0.5,,,2014
US1IDCY0013,,,,0.75,,,2014
US1IDCY0014,,,,0.8,,,2014
US1IDCY0015,,,,0.5900000000000001,,,2014
US1IDEL0001,,,,1.86,,,2014
US1IDFK0001,,,,4.41,,,2014
US1IDFM0002,,,,2.73,,,2014
US1IDGD0001,,,,2.27,,,2014
US1IDID0001,,,,3.66,,,2014
US1IDID0002,,,,3.74,,,2014
US1IDID0005,,,,5.21,,,2014
US1IDID0006,,,,2.8200000000000003,,,2014
US1IDKT0001,,,,3.35,,,2014
US1IDKT0003,,,,4.36,,,2014
US1IDKT0005,,,,3.58,,,2014
US1IDKT0006,,,,5.6499999999999995,,,2014
US1IDKT0008,,,,6.81,,,2014
US1IDKT0012,,,,5.16,,,2014
US1IDKT0014,,,,5.96,,,2014
US1IDKT0018,,,,4.78,,,2014
US1IDKT0019,,,,5.58,,,2014
US1IDKT0021,,,,5.3999999999999995,,,2014
US1IDLM0001,,,,2.94,,,2014
US1IDLT0001,,,,2.19,,,2014
US1IDLT0003,,,,1.78,,,2014
US1IDLT0004,,,,1.38,,,2014
US1IDLT0007,,,,2.4699999999999998,,,2014
US1IDLT0010,,,,0.42,,,2014
US1IDLW0002,,,,3.99,,,2014
US1IDMD0001,,,,6.34,,,2014
US1IDNP0001,,,,2.27,,,2014
US1IDNP0003,,,,3.21,,,2014
US1IDNP0005,,,,2.23,,,2014
US1IDON0001,,,,3.97,,,2014
US1IDPW0001,,,,4.1,,,2014
US1IDPW0003,,,,2.34,,,2014
US1IDPW0004,,,,2.58,,,2014
US1IDSH0001,,,,3.5500000000000003,,,2014
US1IDSH0002,,,,5.05,,,2014
US1IDTF0001,,,,4.63,,,2014
US1IDTF0003,,,,2.59,,,2014
US1IDTF0004,,,,3.2600000000000002,,,2014
US1IDTF0005,,,,0.9400000000000001,,,2014
US1IDVL0001,,,,2.18,,,2014
USC00100010,81.56521739130434,98.0,36.0,2.81,,,2014
USC00100218,84.44565217391305,99.0,39.0,3.35,,,2014
USC00100375,81.79347826086956,96.0,32.0,4.8500000000000005,,,2014
USC00100470,76.79120879120879,92.0,31.0,5.51,,,2014
USC00100528,76.98305084745763,97.0,34.0,3.87,,,2014
USC00100667,76.07608695652173,90.0,36.0,4.69,,,2014
USC00100803,79.84782608695652,95.0,28.0,7.21,,,2014
USC00100915,82.66304347826087,96.0,42.0,4.79,,,2014
USC00101017,84.03370786516854,98.0,31.0,0.9400000000000001,,,2014
USC00101018,88.70652173913044,104.0,36.0,1.76,,,2014
USC00101079,80.96511627906976,100.0,42.0,3.71,,,2014
USC00101220,82.19354838709677,96.0,48.0,2.2,,,2014
USC00101363,78.03260869565217,95.0,36.0,5.33,,,2014
USC00101408,91.5934065934066,106.0,36.0,0.75,,,2014
USC00101514,78.6195652173913,93.0,31.0,2.87,,,2014
USC00101671,76.10989010989012,93.0,34.0,3.27,,,2014
USC00101831,,,,3.5500000000000003,,,2014
USC00101956,81.15217391304348,99.0,44.0,5.640000000000001,,,2014
USC00102159,74.47540983606558,94.0,38.0,3.17,,,2014
USC00102187,89.0,99.0,43.0,0.61,,,2014
USC00102260,80.55434782608695,95.0,32.0,3.57,,,2014
USC00102392,78.01162790697674,94.0,27.0,4.04,,,2014
USC00102577,72.65217391304348,86.0,28.0,3.37,,,2014
USC00102667,83.18478260869566,98.0,34.0,5.57,,,2014
USC00102676,73.21739130434783,87.0,33.0,5.8,,,2014
USC00102707,81.08695652173913,95.0,31.0,5.25,,,2014
USC00102845,87.22826086956522,103.0,37.0,1.78,,,2014
USC00102892,82.52173913043478,98.0,34.0,2.98,,,2014
USC00102942,89.58695652173913,105.0,37.0,0.59,,,2014
USC00103108,87.04878048780488,99.0,35.0,2.72,,,2014
USC00103143,87.21739130434783,103.0,42.0,3.6,,,2014
USC00103297,81.94505494505495,96.0,36.0,2.41,,,2014
USC00103448,87.1264367816092,101.0,30.0,1.77,,,2014
USC00103631,92.09677419354838,102.0,46.0,1.52,,,2014
USC00103732,80.65217391304348,96.0,32.0,6.45,,,2014
USC00103771,69.33333333333333,78.0,39.0,2.63,,,2014
USC00103932,86.69565217391305,105.0,39.0,1.83,,,2014
USC00103964,84.3695652173913,97.0,29.0,3.45,,,2014
USC00104140,84.1195652173913,103.0,39.0,2.95,,,2014
USC00104154,75.29508196721312,93.0,33.0,2.44,,,2014
USC00104318,89.25,104.0,44.0,1.28,,,2014
USC00104384,83.26086956521739,97.0,31.0,3.51,,,2014
USC00104455,81.29347826086956,95.0,39.0,3.44,,,2014
USC00104456,77.95652173913044,90.0,32.0,4.38,,,2014
USC00104598,72.125,86.0,30.0,4.51,,,2014
USC00104670,86.2247191011236,105.0,41.0,4.13,,,2014
